upc,title,release_year,runtime_minutes,director_names,actor_names,studio_name,metadata_source,metadata_status,estimated_value_low_cents,estimated_value_high_cents,value_search_url,review_flags
024543152729.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543152729.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543157120.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543157120.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543160724.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543160724.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543166818.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543166818.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543174561.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543174561.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543182672.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543182672.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543196068.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543196068.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543203162.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543203162.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543206439.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543206439.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543213741.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543213741.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543373933.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543373933.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543506607,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543506607%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192001123,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192001123%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192002021,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192002021%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192003226,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192003226%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192004124.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192004124.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192005220,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192005220%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192014529,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192014529%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192014727,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192014727%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192014925,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192014925%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192017520,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192017520%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192017827,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192017827%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192018428,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192018428%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192021626,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192021626%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192023026,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192023026%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192025822,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192025822%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192026225,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192026225%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192026928,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192026928%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192027628,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192027628%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192028120,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192028120%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192028625,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192028625%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192031823,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192031823%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192032127,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192032127%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
025192034022,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20025192034022%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
